Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
SBIN,EQ,28-Dec-17,314.85,315.3,316.5,307.65,308.3,308.4,310.67,20353152,6323020585,112379
SBIN,EQ,29-Dec-17,308.4,310,312,309.05,310,309.9,310.39,11939569,3705904666,98011
SBIN,EQ,01-Jan-18,309.9,310.6,312.75,306.3,306.75,307.1,309.08,12182400,3765314889,75769
SBIN,EQ,02-Jan-18,307.1,309,309,301.35,303,303.25,304,14797364,4498328483,100195
SBIN,EQ,03-Jan-18,303.25,305.3,306.45,302.15,302.8,302.85,304.32,13857373,4217070489,117207
SBIN,EQ,04-Jan-18,302.85,304.5,310.2,303.15,309.25,308.5,307.63,24517099,7542211203,140513
SBIN,EQ,05-Jan-18,308.5,311.4,311.4,305.6,307.25,306.35,308.05,14580575,4491543989,91829
SBIN,EQ,08-Jan-18,306.35,307.2,309.5,305,306.05,305.8,306.58,13557197,4156338432,108289
SBIN,EQ,09-Jan-18,305.8,307.5,309.5,303.3,303.9,304.3,305.88,15574755,4763934527,110914
SBIN,EQ,10-Jan-18,304.3,304.65,305.85,300,301.05,301.1,302.25,13064599,3948825009,122547
SBIN,EQ,11-Jan-18,301.1,300.9,303,300,302.15,302.2,301.97,12299087,3713982807,93067
SBIN,EQ,12-Jan-18,302.2,304.65,304.65,300.55,302.5,302.25,302.54,17594228,5322941476,101812
SBIN,EQ,15-Jan-18,302.25,303.95,305.25,301.55,302.4,302.6,303.54,18189668,5521232963,166873
SBIN,EQ,16-Jan-18,302.6,302.4,303.35,295.3,297.2,296.15,299.15,18040940,5396948551,152490
SBIN,EQ,17-Jan-18,296.15,296,308.4,292.6,308.1,307.1,302.54,26277307,7950009847,206178
SBIN,EQ,18-Jan-18,307.1,315,317.8,300.5,304.8,303.25,309.57,40000111,12382743470,224468
SBIN,EQ,19-Jan-18,303.25,303.95,310,302.5,308.8,309.25,307.18,18461642,5671084211,113020
SBIN,EQ,22-Jan-18,309.25,308.35,308.75,304.05,306.3,306.5,306.55,12622645,3869442515,95105
SBIN,EQ,23-Jan-18,306.5,306.4,320.55,306.35,318.55,318.1,313.81,35252217,11062384635,251611
SBIN,EQ,24-Jan-18,318.1,317.7,331.6,316.2,330.45,329.9,323.97,38070520,12333761888,256952
SBIN,EQ,25-Jan-18,329.9,332.75,332.75,311.85,311.9,313.15,317.75,42466150,13493553239,247996
SBIN,EQ,29-Jan-18,313.15,313.15,316.9,311,313,312.1,313.59,23600898,7401009350,137291
SBIN,EQ,30-Jan-18,312.1,312.05,318.85,311,313.5,313.55,314.86,25810404,8126695766,152647
SBIN,EQ,31-Jan-18,313.55,313,316.6,307.85,314.5,313.25,312.32,16409938,5125207141,122582
SBIN,EQ,01-Feb-18,313.25,316.9,317.4,305,305.4,306.05,310.67,19515991,6063026766,163804
SBIN,EQ,02-Feb-18,306.05,302.9,305.75,295.5,295.8,297.35,300.07,23274673,6984012072,156709
SBIN,EQ,05-Feb-18,297.35,292.65,300.4,290,299,298.05,295.64,18940578,5599667759,134857
SBIN,EQ,06-Feb-18,298.05,285,297.3,282.9,294.6,291.75,289.73,30577218,8859222866,241764
SBIN,EQ,07-Feb-18,291.75,296.6,297.9,290,292.1,292.8,293.38,21463818,6297080225,161931
SBIN,EQ,08-Feb-18,292.8,292.9,303.3,292.55,302.25,301.4,298.6,18932796,5653382509,125388
SBIN,EQ,09-Feb-18,301.4,297,300.6,295,295.4,296.4,297.71,15750824,4689107088,116844
SBIN,EQ,12-Feb-18,296.4,288.25,292.4,285.15,290.1,288.75,289.3,50839665,14707862290,317117
SBIN,EQ,14-Feb-18,288.75,288.7,288.7,275,275.5,276.2,280.99,45641149,12824620931,327073
SBIN,EQ,15-Feb-18,276.2,274.8,282.3,274.25,279.1,278.7,279.14,26058237,7273787834,174992
SBIN,EQ,16-Feb-18,278.7,280.5,281.2,270.05,271.4,271.65,273.95,30338112,8310986402,246246
SBIN,EQ,19-Feb-18,271.65,271.5,272,256.65,269.6,268.5,263.87,43847791,11570187947,298814
SBIN,EQ,20-Feb-18,268.5,269,274.2,264.8,269.5,269.65,269.54,33458021,9018342750,183760
SBIN,EQ,21-Feb-18,269.65,272.2,274.1,267.4,273.15,273.3,271.18,23714454,6430819672,146297
SBIN,EQ,22-Feb-18,273.3,270.4,273.6,269.45,272.5,272.6,272.38,25584062,6968689324,127523
SBIN,EQ,23-Feb-18,272.6,273.45,277.2,272.5,276.4,276.05,275.6,15482147,4266815890,125599
SBIN,EQ,26-Feb-18,276.05,280,280,273.85,274.3,274.45,275.75,15306032,4220575082,112427
SBIN,EQ,27-Feb-18,274.45,273,275.9,265.95,267.7,267.6,269.55,20824909,5613362242,153426
SBIN,EQ,28-Feb-18,267.6,264.25,269.7,260.8,267.95,268,266.14,26810799,7135336060,185589
SBIN,EQ,01-Mar-18,268,266.3,270,261.25,262.2,262.15,264.62,22859175,6049016897,173004
SBIN,EQ,05-Mar-18,262.15,260.45,265,258.75,263.15,263.5,262.51,18484565,4852294099,146913
SBIN,EQ,06-Mar-18,263.5,265.85,266,255,255.35,256.55,261.43,20778164,5431995775,147230
SBIN,EQ,07-Mar-18,256.55,255.05,255.35,246.05,246.7,246.65,248.97,31262500,7783271192,180424
SBIN,EQ,08-Mar-18,246.65,247,257.95,244.3,256.65,256.8,251.48,33133336,8332437262,171219
SBIN,EQ,09-Mar-18,256.8,257,257.4,251.65,253.65,253.25,253.89,21536191,5467877286,131269
SBIN,EQ,12-Mar-18,253.25,254.1,255.25,247.25,253.55,252.85,250.26,25332474,6339809855,131673
SBIN,EQ,13-Mar-18,252.85,251.3,262.4,249.6,254.1,254.7,257.1,37647221,9679284350,181837
SBIN,EQ,14-Mar-18,254.7,252.5,257.85,250,257.8,257.05,253.76,25471485,6463746575,131180
SBIN,EQ,15-Mar-18,257.05,257,258.8,252.55,253.25,253.7,255.63,18339890,4688276847,90568
SBIN,EQ,16-Mar-18,253.7,250.65,255.7,250.1,252.7,252.3,253.17,25728297,6513583560,150302
SBIN,EQ,19-Mar-18,252.3,252.9,253.6,246.1,247.9,247.95,248.8,18167594,4520035975,112744
SBIN,EQ,20-Mar-18,247.95,246.85,252.25,245.35,250,249.1,249.43,20556571,5127356465,127033
SBIN,EQ,21-Mar-18,249.1,251.75,254.3,247.1,247.45,248,251.2,19533972,4906986304,103548
SBIN,EQ,22-Mar-18,248,247,247.35,240.65,241.5,241.55,243.47,26828240,6531830043,169794
SBIN,EQ,23-Mar-18,241.55,237.8,239.65,232.35,234.7,234.8,234.77,27150262,6374113934,205532
SBIN,EQ,26-Mar-18,234.8,234.75,247.85,234.25,247.2,246.5,241.69,30373940,7341009624,191534
SBIN,EQ,27-Mar-18,246.5,250,255.5,248,253.4,254.35,252.05,31205051,7865111417,186644
SBIN,EQ,28-Mar-18,254.35,252,256.2,248.7,249.25,249.9,251.61,36673566,9227549855,167989
SBIN,EQ,02-Apr-18,249.9,251.8,252,244.9,246,246.15,247.21,14993188,3706522223,107701
SBIN,EQ,03-Apr-18,246.15,249.55,252.8,248.25,250.95,250.5,250.35,19883309,4977777337,113047
SBIN,EQ,04-Apr-18,250.5,251.7,253,245.5,246.7,247.3,249.33,18824449,4693472178,109181
SBIN,EQ,05-Apr-18,247.3,252.6,261.9,250,260.8,259.3,255,22880821,5834535910,154532
SBIN,EQ,06-Apr-18,259.3,259.65,261.45,254.85,258.75,259.7,258.38,24868860,6425622725,187342
SBIN,EQ,09-Apr-18,259.7,260.65,262.75,257.6,259.85,260.65,260.74,20208874,5269269034,122085
SBIN,EQ,10-Apr-18,260.65,261.1,265,258.5,263.15,263.3,261.62,21201141,5546737417,128190
SBIN,EQ,11-Apr-18,263.3,263,263,256.3,257.4,257.05,258.33,14885838,3845480566,99011
SBIN,EQ,12-Apr-18,257.05,257.5,257.5,252.25,253.9,253.8,254.2,18660913,4743665845,102493
SBIN,EQ,13-Apr-18,253.8,254,255.95,249.7,250.8,250.95,252.57,25654020,6479417245,123494
SBIN,EQ,16-Apr-18,250.95,249.35,251.3,247.1,249,249,249.11,16408377,4087502697,91738
SBIN,EQ,17-Apr-18,249,251.4,252.5,246.6,248.15,248.15,249.5,15922452,3972609555,101479
SBIN,EQ,18-Apr-18,248.15,249.5,249.9,245.3,247,246.45,247.67,16142387,3997987082,137163
SBIN,EQ,19-Apr-18,246.45,247.1,248.45,245.2,246.7,246.15,246.67,13166927,3247907090,79014
SBIN,EQ,20-Apr-18,246.15,245.85,245.85,239.5,241.85,241.2,241.56,15546939,3755498695,115151
SBIN,EQ,23-Apr-18,241.2,241.9,244.85,239.3,242.4,242.45,242.55,12111837,2937773832,75286
SBIN,EQ,24-Apr-18,242.45,242,243.4,239.6,240.7,240.6,241.32,9486349,2289252618,69116
SBIN,EQ,25-Apr-18,240.6,239.7,240.75,236.75,237.5,237.2,238.78,13124853,3134016873,83988
SBIN,EQ,26-Apr-18,237.2,238.4,238.8,232.5,233.25,233.2,234.73,24495144,5749736202,151982
SBIN,EQ,27-Apr-18,233.2,233.25,245.8,233.25,243.2,242.6,242.46,31401889,7613775144,203123
SBIN,EQ,30-Apr-18,242.6,244.8,249.7,244.5,246.05,246.4,247.11,17263193,4265822592,102753
SBIN,EQ,02-May-18,246.4,245.9,246.3,239.75,241.2,241,242.08,12887066,3119704302,96574
SBIN,EQ,03-May-18,241,240.95,243.4,238.75,241.6,241.9,241.21,12939642,3121136581,82594
SBIN,EQ,04-May-18,241.9,243.5,243.9,240.35,241.75,241.95,242.15,12777310,3094082510,69129
SBIN,EQ,07-May-18,241.95,242.45,248.2,242.05,247.2,246.5,245.59,15122614,3713934996,93517
SBIN,EQ,08-May-18,246.5,248,252.6,244.6,250.3,250.05,249.25,23293920,5806000776,138529
SBIN,EQ,09-May-18,250.05,249.8,249.8,246.3,248.1,248,247.83,11429823,2832630206,66742
SBIN,EQ,10-May-18,248,248.25,250.2,246.3,247.1,247.95,247.98,13160967,3263722258,72818
SBIN,EQ,11-May-18,247.95,247.6,251.6,246.05,250.8,250.35,248.66,11958589,2973624794,64606
SBIN,EQ,14-May-18,250.35,249.95,255.8,248.15,252.4,253.6,253.57,18673849,4735131637,97405
SBIN,EQ,15-May-18,253.6,253,257.45,245.9,246.55,248,252.61,18026861,4553828069,114730
SBIN,EQ,16-May-18,248,245.5,248.7,240.6,242.9,243.1,244.2,17222004,4205592220,103543
SBIN,EQ,17-May-18,243.1,244.2,246,241.15,242.55,242.7,244.1,11721064,2861108093,73063
SBIN,EQ,18-May-18,242.7,243,244,237.85,239.6,238.85,240.29,11873041,2852923902,110146
SBIN,EQ,21-May-18,238.85,243.55,245.75,240.3,244.5,244.45,243.18,18780730,4567025698,112369
SBIN,EQ,22-May-18,244.45,243.65,259.7,241,255.7,253.9,250.57,68713602,17217750570,363023
SBIN,EQ,23-May-18,253.9,254.65,269.75,254.3,263.45,263.2,265.25,71202072,18886291768,422897
SBIN,EQ,24-May-18,263.2,263.85,269.7,260.65,268.8,268.5,266.17,34679642,9230555943,184520
SBIN,EQ,25-May-18,268.5,267.8,268.4,262.55,267,266.95,265.26,22317308,5919849331,135789
SBIN,EQ,28-May-18,266.95,267.4,274.2,266.05,271.95,272.05,270.84,18959368,5134879730,134180
SBIN,EQ,29-May-18,272.05,270.5,270.95,262.8,263.65,264.3,266.1,16107543,4286244459,115411
SBIN,EQ,30-May-18,264.3,260.5,268,259.95,266.95,267.15,264.32,19320209,5106785147,108400
SBIN,EQ,31-May-18,267.15,266.85,274.8,263.15,270,269.55,267.78,31935892,8551910934,152047
SBIN,EQ,01-Jun-18,269.55,269.25,269.8,264.6,267,266.7,266.65,16574717,4419690026,130807
SBIN,EQ,04-Jun-18,266.7,268,268.35,261.3,263.2,263,264.38,12933824,3419501659,88328
SBIN,EQ,05-Jun-18,263,260.9,265.25,260.9,263.25,263.55,263.48,14102731,3715720448,121807
SBIN,EQ,06-Jun-18,263.55,263,271.4,262.2,270.25,270.15,267.41,18315171,4897656563,138946
SBIN,EQ,07-Jun-18,270.15,271.05,272.9,268.4,269.55,269.65,270.87,18773700,5085315658,116128
SBIN,EQ,08-Jun-18,269.65,268.95,273.9,267,273,273,270.5,14096549,3813112967,93897
SBIN,EQ,11-Jun-18,273,273.3,278.4,273.15,273.6,274,276.37,18219428,5035305157,141047
SBIN,EQ,12-Jun-18,274,274,284.4,274,284,282.85,279.19,31358021,8754912652,214059
SBIN,EQ,13-Jun-18,282.85,284,289.65,283.65,287.3,287.7,287.25,26748300,7683432202,252647
SBIN,EQ,14-Jun-18,287.7,286.55,286.55,281.3,282.85,282.6,282.97,18513730,5238798930,123178
SBIN,EQ,15-Jun-18,282.6,282.75,283.45,276.6,277.85,277.45,279.23,16949917,4732905446,116041
SBIN,EQ,18-Jun-18,277.45,278,279.75,275.45,276.6,276.85,277.04,13542420,3751802372,113699
SBIN,EQ,19-Jun-18,276.85,276,276.7,269.75,272.5,272.6,273.05,20726975,5659492919,112990
SBIN,EQ,20-Jun-18,272.6,273.2,274.75,271.1,273.2,273.3,273,14002946,3822759465,99962
SBIN,EQ,21-Jun-18,273.3,274.75,274.75,268.1,268.8,268.65,270.59,12954943,3505449721,118737
SBIN,EQ,22-Jun-18,268.65,269,273.7,265.75,273,273.05,270.13,20784133,5614420823,189076
SBIN,EQ,25-Jun-18,273.05,271.85,273.15,267.2,268.5,268.45,270.3,10934401,2955598080,90277
SBIN,EQ,26-Jun-18,268.45,267.25,271.2,265.4,267,267.4,268.27,16867009,4524935020,105136
SBIN,EQ,27-Jun-18,267.4,267.35,267.35,261,261.05,261.7,263.58,16277655,4290453842,96681
SBIN,EQ,28-Jun-18,261.7,260.4,262,255.7,257.6,257,258.17,21349738,5511935976,123640
SBIN,EQ,29-Jun-18,257,258.25,263.45,258.2,259.2,259.35,260.91,16244724,4238478682,158728
SBIN,EQ,02-Jul-18,259.35,258.95,261.75,254,260,258.85,257.62,21896701,5641044088,125980
SBIN,EQ,03-Jul-18,258.85,259.6,260.9,256.4,258,257.5,258.07,16099030,4154623857,92458
SBIN,EQ,04-Jul-18,257.5,255.75,258.35,254.5,257.4,257.45,256.66,14206935,3646328371,100359
SBIN,EQ,05-Jul-18,257.45,257.9,258.7,255.15,256.6,256.45,256.98,11215032,2882060428,80185
SBIN,EQ,06-Jul-18,256.45,256.1,260.8,255.55,256.55,257.2,258.29,16174019,4177593668,129539
SBIN,EQ,09-Jul-18,257.2,258.2,262.4,257.95,261.35,261.55,260.67,13220744,3446188707,108471
SBIN,EQ,10-Jul-18,261.55,263.85,265.75,262.4,263.2,263.75,264.4,11487165,3037245609,97898
SBIN,EQ,11-Jul-18,263.75,262.65,262.65,257.9,259.05,259.1,259.68,12857179,3338775885,82878
SBIN,EQ,12-Jul-18,259.1,261.4,264.5,261.15,262,262.75,263.07,10642215,2799695907,89222
SBIN,EQ,13-Jul-18,262.75,262.1,262.4,256.8,257.35,257.75,258.26,11976239,3093017367,86192
SBIN,EQ,16-Jul-18,257.75,257,257.5,251,251.1,251.6,253.33,8965623,2271251195,69096
SBIN,EQ,17-Jul-18,251.6,250.7,259.85,250.45,258.95,259.05,254.84,16067598,4094594111,130839
SBIN,EQ,18-Jul-18,259.05,260.1,262.5,256.15,260.5,259.55,259.11,17641125,4571016126,104122
SBIN,EQ,19-Jul-18,259.55,259.4,263.5,256.2,260.3,260.2,260.67,9958284,2595782909,73048
SBIN,EQ,20-Jul-18,260.2,259.9,263,258.55,262.7,261.5,261.28,6120163,1599087720,48921
SBIN,EQ,23-Jul-18,261.5,262,267.5,260.6,266.6,266.35,263.69,17013119,4486111462,90699
SBIN,EQ,24-Jul-18,266.35,267.2,269.2,265.55,266.65,266.85,267.44,9320281,2492636063,90287
SBIN,EQ,25-Jul-18,266.85,268,272.85,265.65,271.35,271.85,269.11,13099277,3525203615,102919
SBIN,EQ,26-Jul-18,271.85,275.1,289.4,274.2,289.25,287.7,283.14,53496546,15147160237,310433
SBIN,EQ,27-Jul-18,287.7,289.5,297,285.1,286.55,286.75,290.46,32175436,9345552307,220319
SBIN,EQ,30-Jul-18,286.75,289.2,299.55,289.2,296.5,297.4,296.67,40949610,12148359328,268957
SBIN,EQ,31-Jul-18,297.4,297,302.4,291.8,293.6,293.5,296.17,36510328,10813312086,254603
SBIN,EQ,01-Aug-18,293.5,294.5,298,288.35,294.3,295.1,292.95,33885474,9926744009,181159
SBIN,EQ,02-Aug-18,295.1,293,296.4,290.55,294,293.9,294.02,15665209,4605847684,104001
SBIN,EQ,03-Aug-18,293.9,294.6,299.95,294.5,299.9,299.25,297.3,18254462,5427128723,114223
SBIN,EQ,06-Aug-18,299.25,300.6,311.35,300.6,308.9,308.5,307.52,31576923,9710678524,204045
SBIN,EQ,07-Aug-18,308.5,309.85,311.7,303.05,303.9,304.05,306.47,23929123,7333537261,128953
SBIN,EQ,08-Aug-18,304.05,304.05,310.9,303.05,309.85,308.7,306.82,20498279,6289345453,117900
SBIN,EQ,09-Aug-18,308.7,312.95,319.85,310.15,317.65,317.4,316.25,46464355,14694257497,243879
SBIN,EQ,10-Aug-18,317.4,317.65,326.4,300.5,302.7,304.45,313.3,111510771,34935877724,565857
SBIN,EQ,13-Aug-18,304.45,296,302.8,291.1,296.7,294.15,295.95,58127432,17203092198,256293
SBIN,EQ,14-Aug-18,294.15,296.7,298.95,293.35,295,294.9,295.85,25294933,7483493517,156944
SBIN,EQ,16-Aug-18,294.9,293.5,298.4,290.25,293,292.7,294.21,31083900,9145252871,150833
SBIN,EQ,17-Aug-18,292.7,295,302.7,294.05,302.2,302.1,298.51,21931134,6546643267,157302
SBIN,EQ,20-Aug-18,302.1,304.1,308.7,303.6,307.6,307.65,306.04,20240462,6194434181,188475
SBIN,EQ,21-Aug-18,307.65,308.3,308.85,303.35,307.1,307,305.65,14139592,4321728675,115293
